Order in Doc + additions,DirectoryTitle,DirectoryYear,TenantLastName,TenantFirstName,ProfessionalAddress,
1,Trow's,1858-1859,Attwood,William F.,15 Tenth,
2,Trow's,1858-1859,Brevoort,J. R.,15 Tenth,
3,Trow's,1858-1859,Gambrill,Charles D.,15 Tenth,
4,Trow's,1858-1859,Gifford,Sanford,15 Tenth,
5,Trow's,1858-1859,Gignoux,Regis,15 Tenth,
6,Trow's,1858-1859,Hart,William,15 Tenth,
7,Trow's,1858-1859,Hays,William J.,15 Tenth,
8,Trow's,1858-1859,McEntee,Jervis,15 Tenth,
9,Trow's,1858-1859,Mignot,Louis R,15 Tenth,
10,Trow's,1858-1859,Morgan,William P,15 Tenth,
11,Trow's,1858-1859,Nichols,Edward W. ,15 Tenth,
12,Trow's,1858-1859,Philip,Wiliam H.,15 Tenth,
13,Trow's,1858-1859,Rowse,Samuel W.,15 Tenth,
14,Trow's,1858-1859,Stillman,William J. ,15 Tenth,
15,Trow's,1858-1859,Suydam,James A. ,15 Tenth,
16,Trow's,1858-1859,Thompson,Jared D.,15 Tenth,
17,Trow's,1858-1859,Thorndike,G. Q.,15 Tenth,
18,Trow's,1858-1859,White,Henry,15 Tenth,
19,Trow's,1858-1859,Winter,Philip,15 Tenth,
20,Trow's,1859-1860,Attwood,William F.,15 Tenth,
21,Trow's,1859-1860,Boughton,George,15 Tenth,
22,Trow's,1859-1860,Bradford,A,15 Tenth,
23,Trow's,1859-1860,Brevoort,J. R. ,15 Tenth,
24,Trow's,1859-1860,Casilear,John W.,15 Tenth,
25,Trow's,1859-1860,Church,Frederick E.,15 Tenth,
26,Trow's,1859-1860,Dix,Charles,15 Tenth,
27,Trow's,1859-1860,Edmonds,F. W. ,15 Tenth,
28,Trow's,1859-1860,Gifford,Sanford,15 Tenth,
29,Trow's,1859-1860,Gignoux,Regis,15 Tenth,
30,Trow's,1859-1860,Hart,William,15 Tenth,
31,Trow's,1859-1860,Haseltine,William,15 Tenth,
32,Trow's,1859-1860,Hays,William H.,15 Tenth,
33,Trow's,1859-1860,Hubbard,Richard W. ,15 Tenth,
34,Trow's,1859-1860,Hunt,Richard M. ,15 Tenth & 128 B'way,
35,Trow's,1859-1860,Jackson,James A. ,15 Tenth,
36,Trow's,1859-1860,Littelle,Emile,15 Tenth,
37,Trow's,1859-1860,McEntee,Jervis,15 Tenth,
38,Trow's,1859-1860,Mingot,Louis R. ,15 Tenth,
39,Trow's,1859-1860,Moore,Charles H.,15 Tenth,
40,Trow's,1859-1860,Nichols,Eward W. ,15 Tenth,
41,Trow's,1859-1860,Osborn,Charles ,15 Tenth,
42,Trow's,1859-1860,Philip,William H. ,15 Tenth,
43,Trow's,1859-1860,Quincy,Edmund,15 Tenth,
44,Trow's,1859-1860,Read,T. B. ,15 Tenth,
45,Trow's,1859-1860,Rogers,James H. ,15 Tenth,
46,Trow's,1859-1860,Rowse,Samuel W.,15 Tenth,
47,Trow's,1859-1860,Shattuck,Aaron D. ,15 Tenth,
48,Trow's,1859-1860,Staunton,Phineas,15 Tenth,
49,Trow's,1859-1860,Suydam,James A. ,15 Tenth,
50,Trow's,1859-1860,Thompson,Launt,15 Tenth,
51,Trow's,1859-1860,Thorndike,George Q. ,15 Tenth,
52,Trow's,1859-1860,Thwaites,William H. ,15 Tenth,
53,Trow's,1859-1860,Tuckerman,Henry T. ,15 Tenth,
54,Trow's,1859-1860,Vanbrunt,Henry,128 B'way,
55,Trow's,1859-1860,Vanburen,Daniel,15 Tenth,
56,Trow's,1859-1860,Wainwright,James H. ,64 Maiden la,
57,Trow's,1859-1860,Ward,Edwin,15 Tenth,
58,Trow's,1859-1860,Wilson,Nathaniel,15 Tenth,
59,Trow's,1859-1860,Winter,Philip,15 Tenth,
60,Trow's,1861,Bierstadt,Albert ,15 Tenth,
61,Trow's,1861,Dix,Charles,15 Tenth,
62,Trow's,1861,Gifford,Sanford,15 Tenth,
63,Trow's,1861,Gignoux,Regis,15 Tenth,
64,Trow's,1861,Hart,William,15 Tenth,
65,Trow's,1861,McEntee,Jervis,15 Tenth,
66,Trow's,1861,Mingot,Louis R. ,15 Tenth,
67,Trow's,1861,Moore,Charles H.,15 Tenth,
68,Trow's,1861,Nichols,Edward W. ,15 Tenth,
69,Trow's,1861,Osborn,Charles,15 Tenth,
70,Trow's,1861,Staunton,Phineas,15 Tenth,
71,Trow's,1861,Vanbrunt,Henry,15 Tenth,
72,Trow's,1862,Ames,Joseph,15 Tenth,
73,Trow's,1862,Bierstadt,Albert ,15 Tenth,
74,Trow's,1862,Brown,J. G. ,15 Tenth,
75,Trow's,1862,Gifford,Sanford,15 Tenth,
76,Trow's,1862,Hart,William,15 Tenth,
77,Trow's,1862,Haseltine,William,15 Tenth,
78,Trow's,1862,McEntee,Jervis,15 Tenth,
79,Trow's,1862,Mignot,Louis R. ,15 Tenth,
80,Trow's,1862,Nichols,Edward,15 Tenth,
81,Trow's,1862,Osborn,Charles H.,15 Tenth,
82,Trow's,1862,Page,William ,15 Tenth,
83,Trow's,1862,Quincy,Edmund,15 Tenth,
84,Trow's,1862,Thompson,Launt,15 Tenth,
85,Trow's,1862,Thorndike,George Quincy,15 Tenth,
